nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
ECOPUR,78206,Ecquevilly,78920,Traitement et élimination des déchets non dangereux,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
COCA COLA EUROPEAN PARTNERS,91286,Grigny,91350,Production de boissons rafraîchissantes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
KNAUF Plâtres,77437,Saint-Soupplets,77165,Fabrication d'éléments en plâtre pour la construction,3.(b),Extraction à ciel ouvert et exploitation en carrière lorsque la surperficie du site où sont effectuées des opérations d'extraction est égale à 25 hectares
PROTEXSUR,77431,Saint-Pierre-lès-Nemours,77140,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
TERREAL LE SEGALA,11178,Labastide-d'Anjou,11320,"Fabrication de briques, tuiles et produits de construction, en terre cuite",3.(g),"Installations destinées à la fabrication de produits céramiques par cuisson, notamment de tuiles, de briques (simples ou réfractaires), de carrelages, de grès ou de porcelaines d'une capacité de production de 75 tonnes par jour, ou d'une capacité de four de 4 m3 et d'une densité d'enfournement de 300 kg/m3 par four"
TERREAL LASBORDES,11192,Lasbordes,11400,"Fabrication de briques, tuiles et produits de construction, en terre cuite",3.(g),"Installations destinées à la fabrication de produits céramiques par cuisson, notamment de tuiles, de briques (simples ou réfractaires), de carrelages, de grès ou de porcelaines d'une capacité de production de 75 tonnes par jour, ou d'une capacité de four de 4 m3 et d'une densité d'enfournement de 300 kg/m3 par four"
Etablissement de Malvesi,11262,Narbonne,11785,Enrichissement et retraitement de matières nucléaires,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
EPPLN1,11266,Port-la-Nouvelle,11210,Entreposage et stockage non frigorifique,,
Formica - Usine des tôles,11304,Quillan,11500,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,
TERREAL SAINT MARTIN LALANDE,11356,Saint-Martin-Lalande,11400,"Fabrication de briques, tuiles et produits de construction, en terre cuite",3.(g),"Installations destinées à la fabrication de produits céramiques par cuisson, notamment de tuiles, de briques (simples ou réfractaires), de carrelages, de grès ou de porcelaines d'une capacité de production de 75 tonnes par jour, ou d'une capacité de four de 4 m3 et d'une densité d'enfournement de 300 kg/m3 par four"
SYNGENTA PRODUCTION FRANCE SAS,30004,Aigues-Vives,30670,Fabrication de pesticides et d'autres produits agrochimiques,,
RESSOURCE Marchand de Couleurs,30011,Les Angles,30133,"Fabrication de peintures, vernis, encres et mastics",,
EDF CPE Aramon,30012,Aramon,30390,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
EXPANSIA,30012,Aramon,30390,Fabrication d'autres produits chimiques organiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
SANOFI CHIMIE,30012,Aramon,30390,Fabrication de produits pharmaceutiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
CIMENTS CALCIA,30032,Beaucaire,30302,Fabrication de ciment,3.(c).(i),de clinker (ciment) dans des fours rotatifs d'une capacité de production de 500 tonnes par jour
Konings Spirits & Drinks,30032,Beaucaire,30300,Commerce de gros (commerce interentreprises) de boissons,,
MONCIGALE,30032,Beaucaire,30302,Commerce de gros (commerce interentreprises) de boissons,,
CEA Marcoule,30028,Bagnols-sur-Cèze,30207,Recherche-développement en autres sciences physiques et naturelles,,
PHILIPPE LASSARAT Agence SUD EST,30103,Domazan,30390,Travaux de peinture et vitrerie,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
PAREFEUILLE PROVENCE,30116,Fournès,30210,Fabrication de carreaux en céramique,3.(g),"Installations destinées à la fabrication de produits céramiques par cuisson, notamment de tuiles, de briques (simples ou réfractaires), de carrelages, de grès ou de porcelaines d'une capacité de production de 75 tonnes par jour, ou d'une capacité de four de 4 m3 et d'une densité d'enfournement de 300 kg/m3 par four"
GREIF France,30141,Laudun,30290,Fabrication de fûts et emballages métalliques similaires,,
Usine de l'ARDOISE,30141,Laudun,30290,Fabrication de fibres de verre,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
FerroPem,30141,Laudun,30290,Sidérurgie,2.(d),Fonderies de métaux ferreux d'une capacité de productionde 20 tonnes par jour
TECHNICENTRE LR - Site de Nîmes Courbessac,30189,Nîmes,30000,Transport ferroviaire interurbain de voyageurs,,
SIRAP Remoulins,30212,Remoulins,30210,Fabrication d'emballages en matières plastiques,,
HARIBO RICQLES ZAN,30334,Uzès,30700,"Fabrication de cacao, chocolat et de produits de confiserie",,
SAINT MAMET SAS,30341,Vauvert,30600,Transformation et conservation de fruits,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
DISTILLERIE DESCOSTIERES,30341,Vauvert,30600,Fabrication d'autres produits chimiques organiques de base,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
OI Vergèze,30344,Vergèze,30310,Fabrication de verre creux,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
OI Manufacturing France,34032,Béziers,34500,Fabrication de verre creux,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
SBM FORMULATION - Site de Béziers,34032,Béziers,34535,Fabrication de pesticides et d'autres produits agrochimiques,,
GRANDES HUILERIES MEDIACO - GHM,34032,Béziers,34500,Fabrication d'huiles et graisses brutes,,
Placoplatre,34032,Béziers,34500,Fabrication d'éléments en matières plastiques pour la construction,,
GDH SNC,34108,Frontignan,34110,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,,
OCREAL,34146,Lunel-Viel,34400,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
Timac AGRO SETE,34301,Sète,34200,Fabrication de produits azotés et d'engrais,4.(c),"Installations chimiques destinées à la production industrielle d'engrais à base de phosphore, d'azote ou de potassium (engrais simples ou composés)"
Incinérateur de la Communauté d'Agglomération du Bassin de Thau,34301,Sète,34200,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
SAIPOL Etablissement de Sète,34301,Sète,34204,Fabrication d'huiles et graisses brutes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
ARCELOR MEDITERRANEE / SAINT CHELY D APCHER,48140,Saint-Chély-d'Apcher,48200,"Fabrication de moteurs, génératrices et transformateurs électriques",2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
STERIMED,66003,Amélie-les-Bains-Palalda,66110,Fabrication de papier et de carton,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
GIE CHIMIE SALINDRES,30305,Salindres,30340,Distribution d'électricité,,
AXENS,30305,Salindres,30340,Fabrication d'autres produits chimiques n.c.a.,4.(b).(v),"non-métaux, oxydes métalliques ou autres composés inorganiques, tels que carbure de calcium, silicium, carbure de silicium"
RHODIA OPERATIONS,30305,Salindres,30340,Fabrication d'autres produits chimiques organiques de base,4.(a).(vi),hydrocarbures halogénés
Société Nouvelle Sotralentz Packaging,67105,Drulingen,67320,Fabrication d'emballages en matières plastiques,,
NLMK STRASBOURG,67482,Strasbourg,67016,Sidérurgie,2.(c).(iii),par application de couches protectrices de métal en fusion avec une capacité de traitement de 2 tonnes d'acier brut par heure
SUEZ RV NORD EST - SODEC,68297,Saint-Louis,68300,Traitement et élimination des déchets non dangereux,5.(c),Installations destinées à l'élimination des déchets non dangereux d'une capacité de 50 tonnes par jour
Technicentre de Bischheim,67043,Bischheim,67800,Réparation et maintenance d'autres équipements de transport,,
SETE,67482,Strasbourg,67100,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
PENTAIR TECHNICAL SOLUTIONS,67339,Betschdorf,67660,Fabrication de matériel de distribution et de commande électrique,,
GAZ LIQUEFIES INDUSTRIE Ets Schneider Industrie,67046,Bischwiller,67241,"Fabrication d'autres réservoirs, citernes et conteneurs métalliques",,
Schmidt Groupe,67462,Sélestat,67600,Fabrication de meubles de cuisine,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
N. SCHLUMBERGER,68112,Guebwiller,68502,Fabrication de machines pour les industries textiles,,
ITRON,67180,Haguenau,67500,Fabrication d'instrumentation scientifique et technique,,
Centre de Valorisation Energetique de COLMAR,68066,Colmar,68000,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
PAPETERIE ROSSMANN,68294,Sainte-Croix-aux-Mines,68160,Fabrication de papier et de carton,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
ROQUETTE Frères,67025,Beinheim,67930,Fabrication de produits amylacés,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
SOCIETE EUROPEENNE DE STOCKAGE,67482,Strasbourg,67000,Entreposage et stockage non frigorifique,,
ENTREPOT PETROLIER DE MULHOUSE,68154,Illzach,68110,Entreposage et stockage non frigorifique,,
TREDI Centre de Hombourg,68144,Hombourg,68490,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
TREDI,67482,Strasbourg,67000,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Trelleborg Coated Systems France SAS,68063,Cernay,68700,Fabrication d'autres articles en caoutchouc,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
CENPA SAS,67458,Schweighouse-sur-Moder,67590,Fabrication de papier et de carton,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
DSM Nutritional Products France,68349,Village-Neuf,68128,Fabrication de produits pharmaceutiques de base,4.(a).(x),colorants et pigments
ABL TECHNIC Sàrl,67339,Betschdorf,67660,Traitement et revêtement des métaux,,
ARCONIC ARCHITECTURAL PRODUCTS SAS,68203,Merxheim,68500,Traitement et revêtement des métaux,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
